arm	bin_low	bin_high	n	mean_confidence	mean_measured	gap	recorded
af2_msa_notmpl	0.0	0.1	0				2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.1	0.2	0				2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.2	0.3	0				2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.3	0.4	12	0.3784	0.3187	0.0598	2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.4	0.5	48	0.4597	0.5168	-0.0571	2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.5	0.6	102	0.5481	0.5817	-0.0336	2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.6	0.7	75	0.6429	0.7025	-0.0597	2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.7	0.8	92	0.7553	0.7642	-0.0089	2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.8	0.9	421	0.8626	0.8635	-0.0009	2026-09-26T15:35:59+08:00
af2_msa_notmpl	0.9	1.0	2463	0.9569	0.9436	0.0133	2026-09-26T15:35:59+08:00
af2_nomsa	0.0	0.1	0				2026-09-26T15:36:00+08:00
af2_nomsa	0.1	0.2	10	0.1947	0.2146	-0.0199	2026-09-26T15:36:00+08:00
af2_nomsa	0.2	0.3	3363	0.267	0.2537	0.0132	2026-09-26T15:36:00+08:00
af2_nomsa	0.3	0.4	5804	0.3469	0.3326	0.0143	2026-09-26T15:36:00+08:00
af2_nomsa	0.4	0.5	4138	0.4467	0.4094	0.0373	2026-09-26T15:36:00+08:00
af2_nomsa	0.5	0.6	2205	0.5428	0.5023	0.0405	2026-09-26T15:36:00+08:00
af2_nomsa	0.6	0.7	1218	0.6425	0.6129	0.0295	2026-09-26T15:36:00+08:00
af2_nomsa	0.7	0.8	605	0.7484	0.7031	0.0453	2026-09-26T15:36:00+08:00
af2_nomsa	0.8	0.9	795	0.8521	0.8272	0.0249	2026-09-26T15:36:00+08:00
af2_nomsa	0.9	1.0	663	0.9394	0.9488	-0.0095	2026-09-26T15:36:00+08:00
